runparse.pl filename startdate enddate
startdate 19700000
enddate 21000000
19900922 | 0:31:27 |   6.0 | 5:14 |     |     |     Asics| grandview crescent  
19900924 | 0:29:59 |   6.0 | 4:59 |     |     |     Asics| loop at home  
19900926 | 0:19:00 |   4.0 | 4:45 |     |     |     Asics| loop at home  
19900928 | 0:28:58 |   6.0 | 4:49 |     |     |     Asics| loop at home  
19900930 | 0:27:55 |   6.0 | 4:39 |     |     |     Asics| loop at home  
19901001 | 0:27:47 |   6.0 | 4:37 |     |     |     Asics| loop at home  
19901003 | 0:27:28 |   6.0 | 4:34 |     |     |     Asics| loop at home  
19901009 | 0:26:46 |   6.0 | 4:27 |     |     |     Asics| loop at home +2 with catherine  
19901011 | 0:30:33 |   7.0 | 4:21 |     |     |     Asics| grandview crescent  
19901014 | 0:41:00 |   8.7 | 4:42 |     |     |     Asics| loop at home  
19901016 | 0:29:37 |   6.5 | 4:33 |     |     |     Asics| grandview through bus  
19901018 | 0:39:15 |   9.2 | 4:15 |     |     |     Asics| run up corkstown to acres,carling  
19901020 | 0:26:08 |   6.0 | 4:21 |     |     |     Asics| loop at home  
19901023 | 0:39:00 |   9.2 | 4:14 |     |     |     Asics| run up corkstown to acres,carling  
19901024 | 0:26:33 |   6.0 | 4:25 |     |     |     Asics| grandview crescent  
19901026 | 0:42:24 |   9.5 | 4:27 |     |     |     Asics| behind equestrian park  
19901029 | 0:30:42 |   7.3 | 4:12 |     |     |     Asics| grandview crescent  
19901030 | 0:44:48 |  10.0 | 4:28 |     |     |     Asics| behind equestrian park  
19901101 | 0:39:59 |   9.5 | 4:12 |     |     |     Asics| run up corkstown to acres,carling,thru front  
19901102 | 0:30:17 |   7.3 | 4:08 |     |     |     Asics| grandview through bush + 2 loops  
19901105 | 0:32:24 |   7.0 | 4:37 |     |     |     Asics| grandview + 2 loops  
19901106 | 0:31:07 |   7.0 | 4:26 |     |     |     Asics| grandview + 2 loops (helluva wind)  
19901108 | 0:40:25 |   9.5 | 4:15 |     |     |     Asics| run up corkstown to acres,carling,thru front  
19901109 | 0:25:01 |   6.0 | 4:10 |     |     |     Asics| grandview crescent  
19901112 | 0:28:32 |   6.5 | 4:23 |     |     |     Asics| grandview through bush + 1 loop  
19901113 | 0:42:48 |   9.5 | 4:30 |     |     |     Asics| behind equestrian park  (major cramps)  
19901114 | 0:41:07 |   9.0 | 4:34 |     |     |     Asics| corkstown to acres,carling,loop,front  
19901119 | 0:42:33 |   9.0 | 4:43 |     |     |     Asics| corkstown to acres,carling,park,loop,front  
19901120 | 0:30:20 |   7.0 | 4:20 |     |     |     Asics| grandview + 2 loops  
19901121 | 1:05:19 |  13.0 | 5:01 |     |     |     Asics| equestrian park and corkstown  
19901123 | 0:56:00 |  13.0 | 4:18 |     |     |     Asics| over passwalk to tf and back.  
19901126 | 0:30:16 |   7.0 | 4:19 |     |     |     Asics| grandview + 2 loops  
19901128 | 0:43:34 |   9.0 | 4:50 |     |     |     Asics| corkstown to acres,carling,park,loop,front  
19901129 | 0:55:46 |  11.8 | 4:43 |     |     |     Asics| from home up corkstown  
19901130 | 0:43:00 |  10.0 | 4:18 |     |     |     Asics| home  
19901202 | 0:39:12 |   8.5 | 4:36 |     |     |     Asics| home to d&cs  
19901205 | 0:40:39 |   9.0 | 4:31 |     |     |     Asics| grandview + 2 loops + ring road  
19901207 | 1:10:00 |  16.0 | 4:22 |     |     |     Asics|   at home to georges vanier  
