----------------------------------------------------------------------------------------------------------------------
|1991       | Monday       | Tuesday      | Wednesday    | Thursday     | Friday       | Saturday     | Sunday       |
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL 8 - JL14|25s    1.25k  |30 s   1.5k   |36:01s  1.75k |30:32s  1.5k  |20:30     1k  |              |30s       1.5k|
|8.5k s     |41:12r 10 k   |29:58r  7 k   |              |              |              |              |              |
|17 k r     |              |44 b   24 k   |44 b    24 k  |2:45b   77k   |44 b     24k  |              |              |
|149k b     |              |              |              |              |              |              |              |
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL15 - JL20|25:44s 1.25k  |              |40:30s   2 k  |31:07s  1.5k  |              |10 s          |              |
|5.25k s    |39:22r 10 k   |28:32r 6.5k   |              |26:26r  6 k   |21:46r   5k   |              |              |
|27.5k r    |90 b   50 k   |44 b   24 k   |21b     12 k  |44b    24k    |44b     24k   |              |              |
|134 k b    |              |              |              |              |              |              |              |
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL22 - JL27|30:40s 1.5k   |30 s     1.5k |35s      1.8k |              |              |41:55s 2.2k   |44:35 s  2.2k |
|9.2 k s    |39:01r 10 k   |25:33rint 5k  |              |24:01r  6 k   |              |              |              |
|21  k r    |in 24  12 k   |              |in 22    12k  |in 20   12 k  |in 21:17 12   |              |              |
|320 k b    |out1:3956 k   |              |gat2:02  61k  |out 66  40 k  |out      38   |2:30b  77 k   |              |
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL29 - AU 4|              |29:01s  1.5 k |28;33s  1.5k  |              |              |Emily's       |              |
|3 k  s     |29:31r 7 k    |              |24:31r    6k  |37:17r   8.5k |              |Birthday.     |              |
|22.5 r     |              |in 22    12 k |in 19:36 12k  |in 19:17 12   |in 22:17  22  |              |              |
|92   b     |              |out 24   12 k |out 36   19k  |out 47   25   |              |              |              |
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU 5 - AU11|Sharbot lake  |              |              |              |              |              |              |
|           |19:00s1k 1:30t|              |39:05s 2k     |              |              |              |              |
|4.5 k s    |53:34b32k 1:05|              |              |              |              |              |              |
|10 k  r    |44:20r10k     |              |              |1.5k s  28:19 |              |              | 2:20b  77k   |
|109 k b    |1:59:3613c62oa|              |              |              |              |              |              |
